item_id,prefix,good_continuation,bad_continuation,category
35,"To paint the funny clown, Gerry thinks about mixing yellow with red or yellow with blue. He has a preference for mixing red and yellow.",However he decides to give the clown a green nose with some dots,Thus he decides to give the clown a green nose with some dots,concessive
36,Allen observes his new officemate Pete's reaction to long waiting times. Pete seems to easily get nervous when there are delays.,However Allen suspects that Pete is a patient person and works very hard,Thus Allen suspects that Pete is a patient person and works very hard,concessive
37,Allen observes his new officemate Pete's reaction to long waiting times. Pete seems to easily get nervous when there are delays.,Thus Allen suspects that Pete is an impatient person and works very hard,However Allen suspects that Pete is an impatient person and works very hard,causal
38,"In the zoo, little Pam is amazed by the large African animals; the features that particularly fascinate her are the long necks and the long trunks. Back at home, she pretends that her arm is a long trunk.",However the stuffed animal that her parents buy for her birthday is a giraffe with a friendly smile,Thus the stuffed animal that her parents buy for her birthday is a giraffe with a friendly smile,concessive
39,"In the zoo, little Pam is amazed by the large African animals; the features that particularly fascinate her are the long necks and the long trunks. Back at home, she pretends that her arm is a long trunk.",Thus the stuffed animal that her parents buy for her birthday is an elephant with a friendly smile,However the stuffed animal that her parents buy for her birthday is an elephant with a friendly smile,causal
40,Jeff is thinking about a motif for a traditional tattoo on his arm such as a romantic flower or a sailor's symbol. He thinks his girlfriend would find a sailor one manly.,Thus he goes to the tattoo studio to get an anchor tattooed on his upper arm,However he goes to the tattoo studio to get an anchor tattooed on his upper arm,causal
41,Jeff is thinking about a motif for a traditional tattoo on his arm such as a romantic flower or a sailor's symbol. He thinks his girlfriend would find a sailor one manly.,However he goes to the tattoo studio to get a rose tattooed on his upper arm,Thus he goes to the tattoo studio to get a rose tattooed on his upper arm,concessive
42,Today Joe needs to chop wood and water the plants. Chopping wood is the most urgently needed activity.,Therefore he goes to the tool shed and takes out an ax to get started,Nevertheless he goes to the tool shed and takes out an ax to get started,causal
43,Today Joe needs to chop wood and water the plants. Chopping wood is the most urgently needed activity.,Nevertheless he goes to the tool shed and takes out a watering can to get started,Therefore he goes to the tool shed and takes out a watering can to get started,concessive
44,The Japanese teacher asks the exchange students which natural catastrophe frightens them more: a shaking of the ground or a big wave. Carol has heard that it is terrible when the earth shakes.,Nevertheless she replies that the catastrophe that frightens her most is a tsunami like the one she's seen on TV,Therefore she replies that the catastrophe that frightens her most is a tsunami like the one she's seen on TV,concessive
45,The Japanese teacher asks the exchange students which natural catastrophe frightens them more: a shaking of the ground or a big wave. Carol has heard that it is terrible when the earth shakes.,Therefore she replies that the catastrophe that frightens her most is an earthquake like the one she's seen on TV,Nevertheless she replies that the catastrophe that frightens her most is an earthquake like the one she's seen on TV,causal
46,Patrick is thinking about giving his girlfriend a birthday present of jewelry either for her ear or for her finger. She likes to wear jewelry on her left ear.,Nevertheless Patrick decides to get her a ring from the jeweller in town,Therefore Patrick decides to get her a ring from the jeweller in town,concessive
47,Patrick is thinking about giving his girlfriend a birthday present of jewelry either for her ear or for her finger. She likes to wear jewelry on her left ear.,Therefore Patrick decides to get her an earring from the jeweller in town,Nevertheless Patrick decides to get her an earring from the jeweller in town,causal
48,"Bob is standing in the grocery store's citrus fruit aisle and is wondering what kind of fruit to buy. He is planning a barbecue, and he wants to make a sour citrus marinade for the meat.",Therefore the citrus fruit he buys is a lemon from an organic grower,Nevertheless the citrus fruit he buys is a lemon from an organic grower,causal
49,"Bob is standing in the grocery store's citrus fruit aisle and is wondering what kind of fruit to buy. He is planning a barbecue, and he wants to make a sour citrus marinade for the meat.",Nevertheless the citrus fruit he buys is an orange from an organic grower,Therefore the citrus fruit he buys is an orange from an organic grower,concessive
50,Joe wants to watch the sun either rise or set with his girlfriend. His girlfriend usually finds it difficult to get up early.,However the time of day they choose to watch the sun is a morning and they hope for good weather,Therefore the time of day they choose to watch the sun is a morning and they hope for good weather,concessive
51,Joe wants to watch the sun either rise or set with his girlfriend. His girlfriend usually finds it difficult to get up early.,Therefore the time of day they choose to watch the sun is an evening and they hope for good weather,However the time of day they choose to watch the sun is an evening and they hope for good weather,causal
52,"Towards the end of his trip to the Antarctic, Captain Smith heard a tremendous scraping noise on the left side of his ship. He quickly checked his underwater maps and saw that the sea is very deep at the current position of his vessel.",However he sent out an emergency message saying that his ship collided with a rock and raised the alarm,Therefore he sent out an emergency message saying that his ship collided with a rock and raised the alarm,concessive
53,"Towards the end of his trip to the Antarctic, Captain Smith heard a tremendous scraping noise on the left side of his ship. He quickly checked his underwater maps and saw that the sea is very deep at the current position of his vessel.",Therefore he sent out an emergency message saying that his ship collided with an iceberg and raised the alarm,However he sent out an emergency message saying that his ship collided with an iceberg and raised the alarm,causal
54,Mary is freshly in love with Peter and wonders whether she should send him the love poem she wrote for him electronically or by post. She thinks that a hand-written poem is more romantic.,Nevertheless Mary decides to send her love poem as an email and hopes that he'll reply soon,Thus Mary decides to send her love poem as an email and hopes that he'll reply soon,concessive
55,Mary is freshly in love with Peter and wonders whether she should send him the love poem she wrote for him electronically or by post. She thinks that a hand-written poem is more romantic.,Thus Mary decides to send her love poem as a letter and hopes that he'll reply soon,Nevertheless Mary decides to send her love poem as a letter and hopes that he'll reply soon,causal
56,"George and Todd are thinking about eating out, either pasta and pizza or egg rolls. Todd would love to have pasta.",Therefore the restaurant they finally choose is an Italian one very close by,However the restaurant they finally choose is an Italian one very close by,causal
57,"George and Todd are thinking about eating out, either pasta and pizza or egg rolls. Todd would love to have pasta.",However the restaurant they finally choose is a Chinese one very close by,Therefore the restaurant they finally choose is a Chinese one very close by,concessive
58,"During his visit to Italy, Andrew thinks about ordering one of these typical small but strong coffees or one with half coffee and half milk and foam. He usually appreciates coffee with milk.",Thus he orders an espresso and enjoys the flavor,Nevertheless he orders an espresso and enjoys the flavor,causal
59,"During his visit to Italy, Andrew thinks about ordering one of these typical small but strong coffees or one with half coffee and half milk and foam. He usually appreciates coffee with milk.",Nevertheless he orders a cappucino and enjoys the flavor,Thus he orders a cappucino and enjoys the flavor,concessive
